Data.Precipitation,Date,Station.City,State,Temperature,Wind Speed
0,1/3/2016,Birmingham,Alabama,39,4.33
0,1/3/2016,Huntsville,Alabama,39,3.86
0.16,1/3/2016,Mobile,Alabama,46,9.73
0,1/3/2016,Montgomery,Alabama,45,6.86
0.01,1/3/2016,Anchorage,Alaska,34,7.8
0.09,1/3/2016,Annette,Alaska,38,8.7
0.05,1/3/2016,Bethel,Alaska,30,16.46
0.15,1/3/2016,Bettles,Alaska,22,3.1
0.6,1/3/2016,Cold Bay,Alaska,34,9.1
2.15,1/3/2016,Cordova,Alaska,38,9.76
0,1/3/2016,Delta Junction/Ft Greely,Alaska,31,17.9
0,1/3/2016,Fairbanks,Alaska,14,2.2
0.02,1/3/2016,Gulkana,Alaska,27,8.23
1.22,1/3/2016,Homer,Alaska,39,11.26
0,1/3/2016,Iliamna,Alaska,40,19.76
0.7,1/3/2016,Juneau,Alaska,36,9.23
0.14,1/3/2016,Kenai,Alaska,34,11.2
0.17,1/3/2016,Ketchikan,Alaska,37,6.16
0.05,1/3/2016,King Salmon,Alaska,39,18.83
1.3,1/3/2016,Kodiak,Alaska,40,21.8
0.1,1/3/2016,Kotzebue,Alaska,27,11.76
0.01,1/3/2016,Mc Grath,Alaska,30,3.7
0.08,1/3/2016,Nome,Alaska,29,12.86
0,1/3/2016,Northway,Alaska,0,0.36
0.4,1/3/2016,Palmer,Alaska,37,10.5
0,1/3/2016,Petersburg,Alaska,60,1.83
0,1/3/2016,Puntilla Lake,Alaska,60,0
0,1/3/2016,Shemya,Alaska,60,0
0.37,1/3/2016,Sitka,Alaska,43,11.26
0.55,1/3/2016,Skagway,Alaska,38,5.2
0.15,1/3/2016,St Paul Island,Alaska,32,9.03
0.04,1/3/2016,Talkeetna,Alaska,32,4.93
0,1/3/2016,Tanana,Alaska,21,3.83
0.05,1/3/2016,Utqiagvik (Barrow),Alaska,6,13.76
2.42,1/3/2016,Yakutat,Alaska,36,5.93
0,1/3/2016,Douglas Bisbee,Arizona,41,4.2
0,1/3/2016,Kingman,Arizona,40,4.2
0,1/3/2016,Phoenix,Arizona,58,5.8
0,1/3/2016,Tucson,Arizona,56,12.93
0,1/3/2016,Winslow,Arizona,29,2.7
0,1/3/2016,Fort Smith,Arkansas,39,5.16
0,1/3/2016,Harrison,Arkansas,38,7.4
0,1/3/2016,North Little Rock,Arkansas,42,0
0,1/3/2016,Bakersfield,California,47,2.2
0,1/3/2016,Bishop,California,27,3.06
0,1/3/2016,China Lake,California,35,1.56
0,1/3/2016,Concord,California,44,4.06
0.06,1/3/2016,Eureka,California,44,0
0,1/3/2016,Fresno,California,46,0.86
0,1/3/2016,Hayward,California,47,6.56
0,1/3/2016,Long Beach,California,54,2.13
0,1/3/2016,Los Angeles,California,55,2.76
0,1/3/2016,Red Bluff,California,44,7.73
0,1/3/2016,Redding,California,45,6.16
0,1/3/2016,Sacramento,California,44,3.63
0,1/3/2016,Salinas,California,49,6.46
0,1/3/2016,San Diego,California,55,1.83
0.04,1/3/2016,San Francisco,California,46,4.43
0,1/3/2016,Sandberg,California,39,18.8
0,1/3/2016,Santa Barbara,California,51,4.9
0,1/3/2016,Santa Maria,California,51,3.86
0,1/3/2016,Stockton,California,42,1.86
0,1/3/2016,Alamosa,Colorado,14,1.4
0,1/3/2016,Colorado Springs,Colorado,28,3.13
0,1/3/2016,Craig,Colorado,-10,0.4
0,1/3/2016,Denver,Colorado,27,7.2
0,1/3/2016,Grand Junction,Colorado,14,4.46
0,1/3/2016,Pueblo,Colorado,26,1.93
0,1/3/2016,Bridgeport,Connecticut,38,8.86
0,1/3/2016,Windsor Locks,Connecticut,34,6.2
0,1/3/2016,Newark,DE,37,6.43
0,1/3/2016,Wilmington,Delaware,37,6.43
0.75,1/3/2016,Daytona Beach,Florida,63,6.23
0.49,1/3/2016,Fort Lauderdale,Florida,76,5.16
0.62,1/3/2016,Gainesville,Florida,56,4.6
0.49,1/3/2016,Jacksonville,Florida,56,4.83
0.5,1/3/2016,Key West,Florida,79,4.53
1.13,1/3/2016,Miami,Florida,76,3.33
0.14,1/3/2016,Orlando,Florida,65,6.93
0.12,1/3/2016,Pensacola,Florida,48,9.33
0.46,1/3/2016,Tallahassee,Florida,53,6.16
0.18,1/3/2016,Tampa,Florida,66,5.73
0.97,1/3/2016,Vero Beach,Florida,69,6.9
0.24,1/3/2016,West Palm Beach,Florida,74,6.83
0.66,1/3/2016,Alma,Georgia,51,5.06
0,1/3/2016,Athens,Georgia,45,5.1
0,1/3/2016,Atlanta,Georgia,42,10.93
0,1/3/2016,Augusta,Georgia,48,3.06
0.01,1/3/2016,Macon,Georgia,47,5.46
0.41,1/3/2016,Savannah,Georgia,56,5
0.11,1/3/2016,Hilo,Hawaii,73,3.33
0,1/3/2016,Honolulu,Hawaii,73,5.13
0.04,1/3/2016,Kahului,Hawaii,71,8.4
0.04,1/3/2016,Kaunakakai,Hawaii,72,8.86
0,1/3/2016,Lihue,Hawaii,70,6.06
0,1/3/2016,Boise,Idaho,15,3
0,1/3/2016,Lewiston,Idaho,21,2.56
0,1/3/2016,Pocatello,Idaho,8,2.66
0,1/3/2016,Chicago,Illinois,25,12.16
0,1/3/2016,Moline,Illinois,25,10.9
0,1/3/2016,Peoria,Illinois,29,8.2
0,1/3/2016,Quincy,Illinois,29,10.53
0,1/3/2016,Rockford,Illinois,24,9.73
0,1/3/2016,Springfield,Illinois,31,9.96
0,1/3/2016,Evansville,Indiana,35,6.06
0,1/3/2016,Fort Wayne,Indiana,29,13.2
0,1/3/2016,Indianapolis,Indiana,29,10.73
0.03,1/3/2016,South Bend,Indiana,27,11.83
0,1/3/2016,Cedar Rapids,Iowa,22,11.46
0,1/3/2016,Des Moines,Iowa,24,10
0,1/3/2016,Dubuque,Iowa,21,11.86
0,1/3/2016,Sioux City,Iowa,21,8.63
0,1/3/2016,Waterloo,Iowa,22,11.06
0,1/3/2016,Concordia,Kansas,31,8.96
0,1/3/2016,Dodge City,Kansas,31,8.36
0,1/3/2016,Goodland,Kansas,30,8.1
0,1/3/2016,Medicine Lodge,Kansas,34,4.9
0,1/3/2016,Topeka,Kansas,32,5.96
0,1/3/2016,Wichita,Kansas,33,5.96
0,1/3/2016,Covington,Kentucky,33,7.73
0,1/3/2016,Jackson,Kentucky,37,2.93
0,1/3/2016,Lexington,Kentucky,35,7.93
0,1/3/2016,Louisville,Kentucky,38,6.7
0,1/3/2016,Paducah,Kentucky,36,5.6
0.09,1/3/2016,Baton Rouge,Louisiana,47,3.43
0.08,1/3/2016,Lake Charles,Louisiana,47,8.33
0.59,1/3/2016,New Orleans,Louisiana,50,11.93
0,1/3/2016,Shreveport,Louisiana,46,5.36
0.22,1/3/2016,Slidell,Louisiana,47,6.66
0,1/3/2016,Bangor,Maine,29,4.6
0.1,1/3/2016,Caribou,Maine,23,5.66
0.01,1/3/2016,Portland,Maine,34,7.53
0,1/3/2016,Baltimore,Maryland,37,5.36
0,1/3/2016,Salisbury,Maryland,38,3.46
0,1/3/2016,Boston,Massachusetts,37,11.83
0,1/3/2016,Milton,Massachusetts,60,11.6
0,1/3/2016,Worcester,Massachusetts,31,11.56
0.01,1/3/2016,Alpena,Michigan,27,8.96
0,1/3/2016,Detroit,Michigan,32,12.96
